startdatetime,enddatetime,startdate,enddate,starttime,endtime,OC,EC,TC,SOC,chlorine,nitrate,sulfate,Na,ammonia,potassoium,Mg,Ca,Li,Be,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,Bi
2016/5/25 8:49,2016/5/26 8:48,2016/5/25,2016/5/26,8:49,8:48,3.365832959,0.735798582,4.101631541,1.789311449,0.034460406,0.439876943,1.079543155,0.131296394,0.244349391,0.006083366,0.016326408,0.141238015,0.340549891,,0.036487488,10.83678404,0.518122335,,8.465097299,0.12405746,0.415957367,15.61421252,21.53005063,0.133787457,0.299197405,0.308927401,0.666504787,1.838969413,,0.121624961,0.080272474,11.99222117,0.046217485,11.19922643,0.18730244
2016/5/26 9:15,2016/5/27 8:38,2016/5/26,2016/5/27,9:15,8:38,4.786595096,1.423182939,6.209778036,1.737284358,0.070522944,1.169616365,1.052272175,0.109024764,0.287866109,0.012790879,0.020647708,0.214047708,0.232027137,,0.042413563,8.682305782,0.406671219,,6.506739506,0.064867802,0.309369516,13.36027226,26.47354789,0.094806787,0.728515313,0.616244117,0.459064444,1.644149285,,0.129735604,0.059877971,9.894834693,0.069857633,16.7408827,0.147200012
2016/5/27 8:46,2016/5/28 8:43,2016/5/27,2016/5/28,8:46,8:43,6.169933675,2.286954755,8.456888429,1.269906069,0.092726013,2.284453913,4.447275981,0.134573316,1.391852868,0.089741166,0.028664077,0.263457978,0.24602436,,,2.808575115,0.587048224,,7.604832183,0.065768888,0.606535302,7.258936549,29.72022981,0.214357858,1.237429452,1.035251018,0.682047729,0.703970692,,0.616278841,0.099871275,5.295613442,0.168076048,41.28824648,0.277690861
2016/5/28 9:02,2016/5/29 8:40,2016/5/28,2016/5/29,9:02,8:40,5.989065991,1.692337456,7.681403447,2.363064979,0.039990081,2.052001337,6.89631422,0.138826265,1.99270361,0.106155519,0.0250119,0.163141255,0.575165985,,0.07652423,18.48677281,1.120709688,3.102934093,15.93431947,0.180202219,1.098492976,78.25219629,87.98064757,0.251789401,1.851392657,0.782521963,1.061465123,2.91285778,,1.187359824,0.140705842,10.16537995,0.138237318,46.15151615,0.360404437
2016/5/29 8:54,2016/5/30 8:35,2016/5/29,2016/5/30,8:54,8:35,4.674397315,1.363903022,6.038300337,1.752099684,0.20084204,1.725057409,3.53247155,0.195085903,1.147267808,0.059591342,0.023827319,0.17291198,0.953301752,0.009853248,0.088679233,24.79077219,1.564203134,0.305450691,22.14517508,0.226624706,1.000104681,15.48437937,78.70528241,0.300524067,1.179926458,0.933595256,1.896750257,3.41168715,,0.872012456,0.295597443,10.72033392,0.305450691,57.7424971,0.23155133
2016/5/30 8:42,2016/5/31 8:15,2016/5/30,2016/5/31,8:42,8:15,8.196043064,3.036243729,11.23228679,1.690589442,0.109081953,2.046133017,13.01180073,0.250162516,3.655801177,0.207009316,0.051739942,0.252445249,0.805109041,0.009909034,0.061931465,14.07082877,1.194038639,,18.8965285,0.19322617,1.275788172,19.50097959,87.37538761,0.730791283,7.37975333,2.613507809,1.835648613,2.933074167,0.019818069,2.720029928,0.255157634,8.784358948,0.549951406,119.2007287,0.886858574
2016/5/31 8:22,2016/6/1 8:30,2016/5/31,2016/6/1,8:22,8:30,5.01736909,1.247384247,6.264753337,2.344724504,0.160030563,1.679515113,1.623190157,0.157577639,0.457096899,0.102947269,0.03838378,0.396134679,0.570501703,,0.067686643,15.42288503,1.23528123,3.036229404,16.54213202,0.159547087,1.114412226,13.17472154,60.41274605,0.406119857,2.006425482,1.165177208,1.22319433,2.497153642,,1.082986284,0.166799227,9.79280678,0.280416091,58.42082485,0.331181074
2016/6/1 8:37,2016/6/2 9:33,2016/6/1,2016/6/2,8:37,9:33,5.417206947,1.665325825,7.082532772,1.849081038,0.080645696,1.625938903,1.982059066,0.13194706,0.628222743,0.043081787,0.024663369,0.235785772,0.479662506,0.002339817,0.039776891,8.928742057,0.568575556,0.100612135,11.95646539,0.107631587,0.610692263,9.258656268,39.66223968,0.397768907,5.316064453,2.239204966,1.223724344,1.93736856,,1.003781536,0.156767746,11.94008667,0.245680796,65.04691541,0.524119031
2016/6/2 9:40,2016/6/3 9:52,2016/6/2,2016/6/3,9:40,9:52,6.393841878,1.983251664,8.377093542,2.144528295,0.235527407,3.074633116,4.699699906,0.217276847,1.893932967,0.13302202,0.043915712,0.255961068,0.51830494,0.014464324,0.053035854,16.23379285,1.135449426,2.461345783,17.12334877,0.214554138,1.087235013,33.4125882,94.91248269,0.397768907,2.868757573,1.352414284,1.458485993,2.502328034,0.043392972,1.689915175,0.2217863,8.830469739,0.29651864,75.1373412,0.465269085
2016/8/2 9:26,2016/8/4 8:28,2016/8/2,2016/8/4,9:26,8:28,4.162252341,2.292744115,6.454996456,1.351344589,0.178987551,3.89743015,9.584785426,0.145269887,3.144437417,0.181439887,0.058952078,0.215405195,0.285288543,,,5.868261289,,1.966010176,12.09127268,0.101711567,0.676009808,9.913156673,69.85848146,0.272884693,1.946164017,1.679481248,1.169683026,1.141154172,0.084346178,0.862067554,0.193500055,5.875703599,0.20714429,70.63000091,0.40932704
2016/8/4 8:38,2016/8/5 8:18,2016/8/4,2016/8/5,8:38,8:18,3.698547925,2.676835348,6.375383273,0.416743741,0.480191107,7.389174833,16.24334338,0.251541527,6.062192133,0.199272409,0.072611475,0.112221562,0.322921124,,,4.444479288,,,13.7944016,0.064091215,1.718137584,12.78619748,110.0396869,0.340176451,1.693487116,2.62280974,1.557909545,1.094480756,0.192273646,1.079690476,0.248969722,3.949004891,0.308130844,106.6428524,0.510264677
2016/8/5 8:20,2016/8/6 9:30,2016/8/5,2016/8/6,8:20,9:30,3.918478579,2.389907988,6.308386567,0.988447773,0.403817102,11.60015238,13.61657977,0.249845761,6.094946581,0.088738246,0.027978043,0.161493974,0.224857973,,,3.507320753,,1.601823292,10.24378745,0.055634962,2.313487186,7.531583032,39.89490427,0.266584195,2.695977552,1.961132424,0.609666463,0.69543703,0.08113432,0.79048009,0.083452444,3.783177442,0.143723653,54.39940259,0.447397822
2016/8/6 9:36,2016/8/7 8:47,2016/8/6,2016/8/7,9:36,8:47,3.513369904,1.986161815,5.499531719,1.078332516,0.098282425,3.077533548,10.02791547,0.252716593,3.686469274,0.029049916,0.018486402,0.035321007,0.196564851,,,2.789708845,,,6.66052437,0.050401244,0.567013993,9.37463135,46.09193747,0.257046343,5.067845066,1.675841357,0.582134366,0.612375112,0.060481493,1.181909167,0.08064199,3.762452851,0.115922861,69.71500044,0.380529391
2016/8/7 9:04,2016/8/8 8:56,2016/8/7,2016/8/8,9:04,8:56,4.152382953,1.573453799,5.725836753,2.223326217,0.12148618,4.497465628,3.485374125,0.177526857,2.177050182,0.060455826,0.01846842,0.0525031,0.156440956,,,3.490588823,,,6.372524553,0.01222195,0.244438993,6.702517194,25.3972114,0.144219006,1.048643281,0.943534514,0.674651621,0.498655546,0.043999019,0.334881421,0.097775597,2.600830888,0.112441937,30.36665613,0.149107786
2016/8/8 9:01,2016/8/9 8:42,2016/8/8,2016/8/9,9:01,8:42,5.74179968,1.472190219,7.213989899,3.936892246,0.077019556,1.626804103,3.077497819,0.150497302,1.194056045,0.08357808,0.02267796,0.103301769,0.157651969,,,6.577043098,,,7.128824991,0.009853248,0.137945473,5.44638288,13.44968364,0.147798721,0.65770431,1.187316394,0.746383543,0.43846954,0.066509425,0.42615298,0.108385729,2.524894822,0.165041905,40.10271971,0.152725345
2016/8/9 8:50,2016/8/10 8:37,2016/8/9,2016/8/10,8:50,8:37,4.634203819,2.195149177,6.829352996,1.942947609,0.212017053,6.034791904,9.953681421,0.212247973,4.234308595,0.175171807,0.030147286,0.105673942,0.201142287,,,3.951710051,,1.778392171,9.544446809,0.056417959,0.905140291,8.678553793,61.54463388,0.289448657,1.996705141,2.072746737,1.194588948,0.740792325,0.125100691,1.317236684,0.181518649,3.385077511,0.247748427,106.389552,0.490590944
2016/8/10 8:44,2016/8/11 9:19,2016/8/10,2016/8/11,8:44,9:19,4.393976301,2.456553172,6.850529474,1.382238398,0.258829352,5.808899542,19.75875741,0.255886145,6.688552943,0.143339057,0.05937574,0.1027872,0.246805494,,,2.617562116,,,5.901973691,0.066447633,0.503103507,6.599673838,50.07303775,0.360715722,3.597664703,2.199891279,0.617013735,0.802117856,0.056955114,1.597116323,0.085432671,3.33662043,0.180357861,68.72583759,0.605148087
2016/8/11 9:25,2016/8/12 8:38,2016/8/11,2016/8/12,9:25,8:38,4.266007662,3.479610442,7.745618103,,0.323484445,6.80225303,18.77717479,0.324468857,6.567354656,0.214198335,0.058687383,0.14831408,0.329180184,,,3.191288806,,,8.561197607,0.035179562,0.663386019,9.327609486,60.78525686,0.419641914,3.643597455,2.41733845,1.10313054,0.871950563,0.087948904,1.733849824,0.153282376,3.952675033,0.268872364,90.64265339,0.673437323
